horizont;benchmark;metrics;TimeGPT (zero-shot);TimeGPT (few-shot);GTT-Small (zero-shot);GTT-Small (finetune);GTT-Tiny (zero-shot);GTT-Tiny (finetune);UniTime (zero-shot);UniTime (finetune);Lag-Llama (zero-shot);PatchTST;SegRNN;SparseTFT
24;ETTh1;MAE;0.576;1.798;0.126;0.350;0.138;0.336;0.662;0.136;;0.123;0.122;0.153
96;ETTh1;MAE;0.894;0.871;0.179;0.384;0.194;0.376;0.656;0.182;;0.179;0.180;0.198
192;ETTh1;MAE;0.89;0.889;0.196;0.406;0.205;0.404;0.670;0.209;;0.205;0.208;0.222
336;ETTh1;MAE;1.124;4.188;0.207;0.432;0.219;0.432;0.668;0.233;;0.225;0.213;0.238
720;ETTh1;MAE;1.328;7.166;0.224;0.494;0.235;0.489;0.681;0.242;;0.232;0.224;0.253
24;ETTh2;MAE;2.471;2.459;0.197;0.237;0.192;0.248;0.380;0.223;;0.204;0.183;0.253
96;ETTh2;MAE;2.687;2.676;0.272;0.294;0.268;0.300;0.435;0.289;;0.282;0.275;0.293
192;ETTh2;MAE;3.292;3.320;0.304;0.325;0.305;0.331;0.473;0.339;;0.328;0.337;0.325
336;ETTh2;MAE;5.392;5.452;0.332;0.355;0.335;0.359;0.491;0.376;;0.351;0.333;0.347
720;ETTh2;MAE;9.238;9.295;0.387;0.415;0.378;0.411;0.496;0.402;;0.383;0.350;0.403
24;ETTm1;MAE;0.435;0.504;0.084;0.265;0.077;0.264;0.753;0.082;;0.072;0.071;0.076
96;ETTm1;MAE;0.392;0.748;0.141;0.333;0.132;0.336;0.649;0.129;;0.121;0.122;0.123
192;ETTm1;MAE;1.399;0.868;0.177;0.358;0.160;0.361;0.654;0.161;;0.150;0.153;0.151
336;ETTm1;MAE;1.337;0.963;0.209;0.380;0.180;0.382;0.652;0.186;;0.173;0.176;0.174
720;ETTm1;MAE;1.173;0.965;0.262;0.414;0.209;0.415;0.667;0.220;;0.207;0.220;0.202
24;ETTm2;MAE;0.37;2.507;0.120;0.180;0.101;0.183;0.336;0.133;;0.088;0.083;0.108
96;ETTm2;MAE;1.681;.4.129;0.222;0.241;0.193;0.245;0.347;0.196;;0.186;0.176;0.188
192;ETTm2;MAE;2.077;3.817;0.280;0.280;0.238;0.284;0.377;0.239;;0.231;0.224;0.233
336;ETTm2;MAE;2.423;2.703;0.334;0.315;0.278;0.319;0.404;0.275;;0.265;0.252;0.268
720;ETTm2;MAE;3.394;2.372;0.414;0.370;0.341;0.372;0.451;0.331;;0.323;0.310;0.324
24;exchange_rate;MAE;0.224;0.008;0.123;0.143;0.162;0.150;0.177;0.164;;0.139;0.121;0.200
96;exchange_rate;MAE;0.247;0.013;0.027;0.297;0.389;0.297;0.276;0.252;;0.299;0.233;0.291
192;exchange_rate;MAE;0.253;0.035;0.502;0.498;0.525;0.474;0.361;0.354;;0.400;0.350;0.491
336;exchange_rate;MAE;0.263;0.045;0.842;0.831;0.790;0.782;0.462;0.496;;0.520;0.587;0.562
720;exchange_rate;MAE;0.303;0.098;1.281;1.286;1.168;1.233;0.740;0.850;;0.876;0.694;0.810
24;weather;MAE;7.942;5.963;0.011;0.099;0.012;0.105;0.252;0.018;;0.018;0.012;0.017
96;weather;MAE;7.510;8.600;0.019;0.170;0.21;0.185;0.300;0.029;;0.253;0.021;0.027
192;weather;MAE;6.104;6.153;0.023;0.218;0.026;0.230;0.330;0.031;;0.027;0.023;0.029
336;weather;MAE;6.233;5.265;0.027;0.261;0.029;0.271;0.360;0.032;;0.288;0.026;0.031
720;weather;MAE;6.411;5.494;0.034;0.314;0.035;0.321;0.401;0.036;;0.033;0.030;0.035
24;illness;MAE;10000;10000;0.570;0.630;0.510;1.083;1.533;0.614;;0.487;0.617;0.585
36;illness;MAE;10000;10000;0.622;0.665;0.606;1.210;1.300;0.622;;0.593;0.600;0.568
48;illness;MAE;10000;10000;0.662;0.707;0.708;1.386;1.195;0.636;;0.696;0.655;0.602
60;illness;MAE;10000;10000;0.725;0.754;0.784;1.646;1.205;0.700;;0.791;0.694;0.640
24;ETTh1;MSE;0.522;1.798;0.028;0.308;0.034;0.290;0.978;0.031;0.250;0.026;0.026;0.038
96;ETTh1;MSE;1.357;0.871;0.053;0.367;0.061;0.363;0.965;0.057;1.667;0.055;0.053;0.064
192;ETTh1;MSE;1.219;0.889;0.063;0.408;0.068;0.417;0.989;0.075;4.634;0.071;0.068;0.079
336;ETTh1;MSE;2.262;4.188;0.069;0.446;0.079;0.461;0.965;0.089;3.020;0.081;0.072;0.089
720;ETTh1;MSE;2.941;7.116;0.081;0.530;0.088;0.535;0.966;0.094;2.921;0.087;0.077;0.104
24;ETTh2;MSE;9.472;9.455;0.069;0.142;0.067;0.155;0.324;0.084;36.713;0.070;0.062;0.105
96;ETTh2;MSE;11.382;11.253;0.123;0.221;0.121;0.224;0.430;0.138;31.200;0.129;0.126;0.139
192;ETTh2;MSE;16.066;16.305;0.149;0.263;0.151;0.267;0.503;0.186;71.923;0.168;0.182;0.164
336;ETTh2;MSE;44.45;46.520;0.175;0.299;0.175;0.303;0.521;0.222;22.438;0.185;0.168;0.182
720;ETTh2;MSE;114.86;116.418;0.232;0.375;0.221;0.371;0.516;0.251;65.137;0.223;0.188;0.249
24;ETTm1;MSE;0.254;0.323;0.013;0.197;0.011;0.190;1.381;0.013;3.711;0.010;0.010;0.010
96;ETTm1;MSE;0.236;0.697;0.035;0.287;0.031;0.293;1.030;0.030;1.429;0.026;0.027;0.026
192;ETTm1;MSE;3.602;1.020;0.055;0.327;0.046;0.332;1.016;0.044;6.824;0.039;0.040;0.039
336;ETTm1;MSE;3.054;1.388;0.077;0.364;0.058;0.368;0.992;0.058;10.273;0.053;0.052;0.053
720;ETTm1;MSE;2.287;1.324;0.118;0.427;0.075;0.430;1.012;0.082;5.619;0.075;0.079;0.070
24;ETTm2;MSE;0.224;7.497;0.032;0.091;0.024;0.094;0.236;0.034;7.952;0.018;0.017;0.025
96;ETTm2;MSE;6.262;20.084;0.092;0.157;0.071;0.164;0.279;0.070;66.843;0.065;0.060;0.065
192;ETTm2;MSE;7.53;17.049;0.140;0.212;0.103;0.219;0.336;0.102;89.430;0.094;0.090;0.095
336;ETTm2;MSE;10.006;10.600;0.193;0.264;0.136;0.270;0.386;0.131;177.166;0.120;0.111;0.123
720;ETTm2;MSE;19.585;9.018;0.285;0.343;0.198;0.348;0.482;0.183;49.698;0.172;0.161;0.173
24;exchange_rate;MSE;0.059;0;0.029;0.035;0.046;0.035;0.063;0.046;0.0004;0.033;0.026;0.066
96;exchange_rate;MSE;0.061;0;0.149;0.147;0.216;0.141;0.152;0.111;0.0002;0.150;0.100;0.144
192;exchange_rate;MSE;0.064;0.002;0.365;0.367;0.370;0.327;0.249;0.219;0.002;0.261;0.209;0.369
336;exchange_rate;MSE;0.094;0.003;0.986;0.951;0.878;0.838;0.397;0.429;0.002;0.453;0.593;0.496
720;exchange_rate;MSE;0.094;0.013;2.028;2.081;1.676;1.945;0.945;1.215;0.011;1.321;0.843;1.044
24;weather;MSE;93.442;47.185;0.0003;0.086;0.0003;0.090;0.206;0.001;;0.001;0.0004;0.001
96;weather;MSE;92.097;98.665;0.0008;0.135;0.0009;0.147;0.268;0.002;;0.001;0.001;0.001
192;weather;MSE;60.032;59.597;0.001;0.179;0.001;0.191;0.312;0.002;;0.001;0.001;0.002
336;weather;MSE;61.101;43.522;0.001;0.230;0.002;0.240;0.361;0.002;;0.002;0.001;0.002
720;weather;MSE;63.333;47.210;0.002;0.302;0.002;0.310;0.428;0.002;;0.002;0.002;0.002
24;illness;MSE;10000;10000;0.567;1.146;0.543;1.083;5.150;0.749;10000;0.426;0.760;0.771
36;illness;MSE;10000;10000;0.639;1.260;0.685;1.207;3.852;0.710;10000;0.571;0.717;0.641
48;illness;MSE;10000;10000;0.698;1.381;0.874;1.386;3.115;0.676;10000;0.724;0.768;0.668
60;illness;MSE;10000;10000;0.837;1.582;1.021;1.646;2.972;0.743;10000;0.889;0.767;0.645
